category,link_name,link_url,description,note
Netsuite,AP History Details by Vendor_,https://6806598.app.netsuite.com/app/common/search/searchresults.nl?searchid=1068,Detail bill per item line,
Netsuite,Stock Move Line,https://6806598.app.netsuite.com/app/common/search/searchresults.nl?searchid=1602,Daily transaction move,
Netsuite,Sales vs COGS,https://6806598.app.netsuite.com/app/common/search/searchresults.nl?searchid=1063,Summary report sales vs cogs,
Netsuite,Reconcile Transfer Order,https://6806598.app.netsuite.com/app/common/search/searchresults.nl?searchid=3005,Report detail transaksi TO,
Netsuite,Detail PO vs GRN vs Bill NR,https://6806598.app.netsuite.com/app/common/search/searchresults.nl?searchid=602,Report PO vs GRN vs Bill,kalau ada partial GR maka line qty & amount akan double
Netsuite,Check FF-SO NR,https://6806598.app.netsuite.com/app/common/search/searchresults.nl?searchid=1053,Detail FF-SO transaksi dari netsuite dan odoo,
Netsuite,Stock Ledger (stock movement),https://6806598.app.reporting/reportrunner.nl?cr=2005&reload=T,Inventory movement / report inventory,
Netsuite,SIRC - All Inventory Item,https://6806598.app.netsuite.com/app/common/search/searchresults.nl?searchid=2910,Database Product,
Netsuite,BS vs Inventory Valuation Report,https://6806598.app.netsuite.com/app/common/search/searchresults.nl?searchid=1070,Report utk cek apakah angka inventory di BS dengan detail sama / ada selisih,
Netsuite,Open Invoices and Applied Payments - NR,https://6806598.app.netsuite.com/app/common/search/searchresults.nl?searchid=1071,Report to display open Invoices and Applied Payments,
Netsuite,Invoice Details - NR,https://6806598.app.netsuite.com/app/common/search/searchresults.nl?searchid=1072,Report detail invoice,
Netsuite,Current Inventory Snapshot,https://6806598.app.netsuite.com/app/reporting/reportrunner.nl?cr=3102,"Cara cek qty onhand, available,committed,backordered,on order suatu barang dilokasi gudang tertentu",
Netsuite,Data Stock Minus,https://6806598.app.netsuite.com/app/common/search/searchresults.nl?searchid=2836,Cek stock minus,
Netsuite,Item Receipt vs Bill Variance - NR,https://6806598.app.netsuite.com/app/common/search/searchresults.nl?searchid=1075,Cek amount GRN vs Bill,
Netsuite,Detail Inventory Adjustment,https://6806598.app.netsuite.com/app/common/search/searchresults.nl?searchid=2759,Cek detail hasil inventory adjustment,
Netsuite,Inventory Aging - NR,https://6806598.app.netsuite.com/app/common/search/searchresults.nl?searchid=1078,Inventory aging based on transaction type,
Netsuite,Sales Transaction Detail - NR,https://6806598.app.netsuite.com/app/common/search/searchresults.nl?searchid=1079,Sales transaction detail,Request Bu Lisa utk tim sales SIP & TOP
Netsuite,Sales Transaction Detail with COGS Amount - NR,https://6806598.app.netsuite.com/app/common/search/searchresults.nl?searchid=1084,Sales transaction detail with COGS Amount,Request Bu Lisa utk tim sales SIP & TOP
Netsuite,Report VR -,https://6806598.app.netsuite.com/app/common/search/searchresults.nl?searchid=1085,Report VR (Vendor Return),
Netsuite,Purchase Order Report -,https://6806598.app.netsuite.com/app/common/search/searchresults.nl?searchid=2938,Report PO,
Netsuite,Bill vs Bill Payment Tracking Report_,https://6806598.app.netsuite.com/app/common/search/searchresults.nl?searchid=1104,Bill vs Bill Payment Tracking Report - NR,Request Bu Lisa
Netsuite,Item Receipt Report_,https://6806598.app.netsuite.com/app/common/search/searchresults.nl?searchid=1105,Report GRN,
Netsuite,Bill Report (Trade Payable Only),https://6806598.app.netsuite.com/app/common/search/searchresults.nl?searchid=1106,Report Bill hanya trade payable,
Netsuite,Committed Items,https://6806598.app.netsuite.com/app/common/search/searchresults.nl?searchid=1119,Committed transaction sku level,Request Nindy
Netsuite,Item Fulfillment Report - NR,https://6806598.app.netsuite.com/app/common/search/searchresults.nl?searchid=1124,Report FF,
Netsuite,Transaction Summary - NR,https://6806598.app.netsuite.com/app/common/search/searchresults.nl?searchid=1087,Cara tarik summary transaksi dari berbagai macam type dokumen,
Netsuite,Inventory Activity Detail - NR,https://6806598.app.netsuite.com/app/reporting/reportrunner.nl?cr=2266,Cek history transaksi dari suatu item,
Netsuite,Item Transaction Sublist View - marco,https://6806598.app.netsuite.com/app/common/search/searchresults.nl?searchid=1148,Cek history transaksi dari suatu item (cara lainnya),
Netsuite,VRA Fulfillment - NR,https://6806598.app.netsuite.com/app/common/search/searchresults.nl?searchid=1064,Check Item Fulfillment VRA,
Netsuite,Report CM per detail SKU,https://6806598.app.netsuite.com/app/common/search/searchresults.nl?searchid=2704,Data CM per detail SKU,
Netsuite,Report CM per detail SKU (CM Single tidak link ke Invoice/SO),https://6806598.app.netsuite.com/app/common/search/searchresults.nl?searchid=2762,Data CM per detail SKU (CM yang tidak nge link ke invoice / SO),
Netsuite,Stock Balance - NR - PDU,https://6806598.app.netsuite.com/app/common/search/searchresults.nl?scrollid=1151,History transaksi NR WH PDU,
Netsuite,Stock Balance - NR - NonPDU,https://6806598.app.netsuite.com/app/common/search/searchresults.nl?searchid=1160,History transaksi NR diluar PDU,
Netsuite,Committed Fulfilled and Backordered Sales Orders,https://6806598.app.netsuite.com/app/common/search/searchresults.nl?searchid=1183,"Untuk cek total value commited,fulfilled & backordered dari suatu SO per itemnya",
Netsuite,Report invoice related to payment transaction,https://6806598.app.netsuite.com/app/common/search/searchresults.nl?searchid=1192,Invoices with related to Payment transactions,
